,longitude,latitude,propertyTaxRate,price,numPriceChanges,saleMonth,saleYear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,zipcode_median,clusters,cluster
4645,-97.90843201,30.18699074,1.98,567000,2,12,2018,40,0,1,2,0,0,0,0,0,3592,1,0,1,1,1.866666667,8.666666667,1664,18,4.0,5,2,15,523915.0,0,pink
4646,-97.87673187,30.24699974,1.98,649000,1,7,2019,1,0,8,1,1,5,0,0,0,3572,1,0,1,1,3.533333333,6.0,1455,17,3.0,5,2,14,649999.0,1,light purple
4647,-97.91902161,30.18639374,1.98,649900,2,8,2020,65,0,8,2,2,1,0,0,0,3364,1,0,1,1,2.166666667,8.0,1655,18,4.0,4,2,15,523915.0,0,pink
4648,-97.92019653,30.18808174,1.98,415000,4,8,2019,26,0,4,1,1,1,0,0,0,2351,1,0,1,1,2.166666667,8.0,1655,18,2.0,3,2,14,523915.0,0,pink
4649,-97.87686157,30.29311752,1.98,799000,6,12,2019,36,0,5,2,2,3,0,1,0,4523,1,0,1,1,5.666666667,5.666666667,1332,16,4.0,4,2,16,649999.0,1,light purple
4650,-97.91921234,30.18732262,1.98,674900,1,3,2020,79,0,7,4,0,0,0,0,0,3667,1,0,1,1,2.166666667,8.0,1655,18,4.0,5,2,15,523915.0,0,pink
4651,-97.88816833,30.2449894,1.98,350000,1,2,2020,29,0,3,2,2,0,0,0,0,1416,1,0,1,1,3.266666667,6.666666667,1698,17,2.0,4,1,43,380000.0,0,pink
4652,-97.91776276,30.18690109,1.98,499900,5,11,2018,40,0,6,1,0,0,0,0,0,2880,1,0,1,1,2.133333333,8.0,1655,18,3.0,3,1,15,523915.0,0,pink
4653,-97.91697693,30.18649483,1.98,575000,1,3,2020,37,0,4,2,1,1,0,0,0,3671,1,0,1,1,2.1,8.0,1655,18,4.0,4,2,15,523915.0,0,pink
4654,-97.89828491,30.24222946,1.98,424700,7,4,2019,40,0,5,2,0,0,0,0,0,3482,1,0,1,1,3.433333333,6.666666667,1660,17,3.0,5,2,17,380000.0,0,pink
4655,-97.92010498,30.19238091,1.98,895000,1,9,2020,63,0,4,2,1,2,0,1,0,4849,1,0,1,1,2.3,8.666666667,1664,18,4.0,5,2,16,523915.0,1,light purple
4656,-97.9264679,30.18866539,1.98,475000,2,5,2019,30,0,0,1,0,0,0,1,0,2592,1,0,1,1,2.4,8.0,1655,18,4.0,4,2,10,523915.0,0,pink
