,latitude,longitude,propertyTaxRate,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,yearBuilt,price,numPriceChanges,saleDate,saleMonth,saleYear,latestPriceSource,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,value,ageCategory,zipcode,zipcode_median
1386,30.27827072,-97.62599945,1.98,True,True,False,True,False,False,Single Family,2014,224900,4,3/8/2019,3,2019,Agent Provided,27,0,4,1,0,0,0,0,0,4965,1510,1,0,1,2,2.933333333,3.666666667,1085,11,2.0,3,1,7,Below Median,<=10 Yrs,78724,249000.0
1387,30.34824181,-97.91199493,1.98,True,True,True,True,False,True,Single Family,2008,375000,5,9/24/2019,9,2019,Agent Provided,31,0,1,2,2,2,0,2,0,7405,2578,1,0,1,1,2.566666667,8.333333333,1533,17,2.0,4,1,13,Below Median,10-20 Yrs,78732,550000.0
1388,30.33616829,-97.87413025,1.98,True,True,True,True,False,False,Single Family,1983,414000,8,1/1/2019,1,2019,Agent Provided,30,0,3,2,0,0,0,0,0,20473,1354,0,1,3,0,4.066666667,8.0,1373,14,2.0,3,1,38,Median or Above,30-40 Yrs,78733,775000.0
1389,30.37729263,-97.827034,1.98,True,True,True,True,True,True,Single Family,1993,1290000,1,3/30/2018,3,2018,Agent Provided,31,0,2,2,0,0,0,0,0,121096,4364,1,0,1,1,1.3,7.0,1381,16,5.0,3,2,28,Median or Above,20-30 Yrs,78730,887450.0
1390,30.16140175,-97.63704681,1.98,True,True,True,True,False,True,Single Family,2008,77500,7,3/31/2020,3,2020,Broker Provided,27,0,4,2,0,1,0,0,0,5401,1324,1,0,1,1,1.166666667,3.0,1615,14,2.0,3,1,13,Below Median,10-20 Yrs,78617,199800.0
1391,30.48566055,-97.79246521,2.21,True,True,False,True,False,True,Single Family,2014,699900,1,11/21/2019,11,2019,Agent Provided,42,0,5,2,1,1,0,1,0,10236,3957,1,0,1,1,3.2,7.666666667,1259,14,5.0,4,2,7,Median or Above,<=10 Yrs,78717,410000.0
1392,30.32350922,-97.84837341,1.98,True,True,True,True,False,False,Single Family,1990,2000000,6,5/29/2020,5,2020,Agent Provided,40,0,2,2,1,3,0,0,0,78408,5021,0,1,3,0,2.866666667,9.333333333,1360,14,6.0,5,2,31,Median or Above,30-40 Yrs,78733,775000.0
1393,30.38209724,-97.79323578,1.98,True,True,True,True,False,True,Single Family,1998,925000,1,7/2/2020,7,2020,Agent Provided,82,0,5,2,1,1,0,2,0,18730,4130,1,0,1,1,2.7,7.0,1523,17,4.0,5,2,23,Median or Above,20-30 Yrs,78750,585000.0
1394,30.16828346,-97.62340546,1.98,True,True,True,True,False,False,Single Family,2004,215000,3,10/27/2020,10,2020,Agent Provided,71,0,3,2,2,1,0,0,0,6599,1423,1,0,1,1,0.566666667,3.333333333,1626,14,2.0,3,1,17,Below Median,10-20 Yrs,78617,199800.0
1395,30.33243752,-97.82034302,1.98,True,True,False,True,False,False,Single Family,1983,1695000,5,9/26/2018,9,2018,Agent Provided,46,0,5,1,0,0,0,0,0,29185,5122,0,1,1,0,2.25,9.0,1669,15,4.0,5,2,38,Median or Above,30-40 Yrs,78746,1140000.0
